Package,File Name,Application Name,Generic Name
budgie-quickchar,quickchar.desktop,QuickChar Control,
budgie-wallstreet,wallstreet-control.desktop,WallStreet Control,
budgie-window-shuffler,shuffler-control.desktop,Window Shuffler Control,
bugsquish,bugsquish.desktop,Bug Squish,Game
bumprace,bumprace.desktop,BumpRace,race through a maze
burgerspace,burgerspace.desktop,BurgerSpace,
bustle,org.freedesktop.Bustle.desktop,Bustle,
butt,butt.desktop,butt,Streaming Tool
buzztrax,buzztrax-edit.desktop,Buzztrax Music Editor,
buzztrax,buzztrax-songio-buzz.desktop,Buzztrax Music Editor,
bygfoot,bygfoot.desktop,bygfoot,
bzflag-client,bzflag.desktop,BZFlag,Tank Battle Game
cadabra,cadabra.desktop,Cadabra,Cadabra computer algebra system
cadabra2,cadabra2-gtk.desktop,Cadabra 2,Computer algebra system
caffeine,caffeine-indicator.desktop,Caffeine Indicator,
caffeine,caffeine.desktop,Caffeine,
cairo-dock-core,cairo-dock-cairo.desktop,Cairo-Dock (Fallback Mode),Multi-purpose Dock and Desklets
cairo-dock-core,cairo-dock.desktop,Cairo-Dock,Multi-purpose Dock and Desklets
caja,caja-autorun-software.desktop,Autorun Prompt,
caja,caja-browser.desktop,Caja,File Browser
caja,caja-computer.desktop,Computer,
caja,caja-file-management-properties.desktop,File Management,
caja,caja-folder-handler.desktop,Caja,Open Folder
caja,caja-home.desktop,Home Folder,
caja,caja.desktop,Caja,File Manager
caja,mate-network-scheme.desktop,Network,
caja-actions,cact.desktop,Caja-Actions Configuration Tool,
caja-dropbox,caja-dropbox.desktop,Caja Dropbox,File Synchronizer For Mate
caja-eiciel,org.mate-desktop.mate-eiciel.desktop,MATE Eiciel,Access control list editor
caja-seahorse,mate-seahorse-pgp-encrypted.desktop,Decrypt File,
caja-seahorse,mate-seahorse-pgp-keys.desktop,Import Key,
caja-seahorse,mate-seahorse-pgp-signature.desktop,Verify Signature,
calamares,calamares.desktop,Install System,System Installer
calamares-settings-debian,install-debian.desktop,Install Debian,Calamares Installer
calc-common,calc-common.desktop,Calc,
calf-plugins,calf.desktop,Calf Plugin Pack for JACK,
calibre,calibre-ebook-edit.desktop,E-book editor,Editor for E-books
calibre,calibre-ebook-viewer.desktop,E-book viewer,Viewer for E-books
calibre,calibre-gui.desktop,calibre,E-book library management
