POLICY,TYPE,PACKAGE,PATH,NOTES
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic/nic_AMDA0058-0012_2x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic/nic_AMDA0078-0011_1x100.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic/nic_AMDA0081-0001_1x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic/nic_AMDA0081-0001_4x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic/nic_AMDA0096-0001_2x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic/nic_AMDA0097-0001_2x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic/nic_AMDA0097-0001_4x10_1x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic/nic_AMDA0097-0001_8x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic/nic_AMDA0099-0001_1x10_1x25.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic/nic_AMDA0099-0001_2x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic/nic_AMDA0099-0001_2x25.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic_AMDA0081-0001_1x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic_AMDA0081-0001_4x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic_AMDA0096-0001_2x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic_AMDA0097-0001_2x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic_AMDA0097-0001_4x10_1x40.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic_AMDA0097-0001_8x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic_AMDA0099-0001_2x10.nffw",
SHOULD NOT,server,firmware-netronome,"/lib/firmware/netronome/nic_AMDA0099-0001_2x25.nffw",
SHOULD NOT,gpu?,nvidia-tesla-470-kernel-support,"/lib/firmware/nvidia/470.199.02/gsp.bin",
SHOULD NOT,gpu?,firmware-nvidia-gsp,"/lib/firmware/nvidia/525.125.06/gsp_ad10x.bin",
SHOULD NOT,gpu?,firmware-nvidia-tesla-gsp,"/lib/firmware/nvidia/525.125.06/gsp_ad10x.bin",
SHOULD NOT,gpu?,firmware-nvidia-gsp,"/lib/firmware/nvidia/525.125.06/gsp_tu10x.bin",
