  Size Package
 14MiB tumiki-fighters
 14MiB alienblaster
 14MiB parsec47
 14MiB solarwolf
 14MiB ddnet-data
 14MiB blockattack
 14MiB freedroid
 13MiB brainparty-data
 13MiB bouncy
 13MiB ri-li-data
 13MiB exult-studio
 13MiB a7xpg
 13MiB crafty-books-medium
 13MiB monsterz
 13MiB monsterz-data
 13MiB singularity
 13MiB trophy
 13MiB doomsday-common
 13MiB pinball
 13MiB whichwayisup
 13MiB simutrans
 13MiB blockout2
 13MiB bumprace
 12MiB rlvm
 12MiB funguloids-data
 12MiB bzflag
 12MiB vcmi
 12MiB crawl-tiles
 12MiB bambam
 12MiB jigzo
 12MiB orbital-eunuchs-sniper
 12MiB cavepacker
 12MiB rrootage
 12MiB minetest-mod-unified-inventory
 12MiB minetest-mod-pipeworks
 12MiB oneisenough
 12MiB minetest-mod-pycraft
 12MiB briquolo
 12MiB pushover
 12MiB glob2
 12MiB freealchemist
 12MiB sdl-ball
 12MiB cuyo
 12MiB hannah
 12MiB pekka-kana-2
 12MiB gnurobbo
 12MiB luola
 12MiB gamine
 12MiB minetest-mod-player-3d-armor
 12MiB pingus-data
 12MiB minetest-mod-maidroid
 12MiB minetest-mod-ethereal
 12MiB minetest-mod-throwing-arrows
 12MiB angband
 12MiB minetest-mod-xdecor
 12MiB minetest-mod-skyblock
 12MiB minetest-mod-mobs-redo
 12MiB minetest-mod-character-creator
 12MiB minetest-mod-craftguide
 12MiB minetest-mod-nether
 12MiB minetest-mod-moreblocks
 12MiB pybik
 12MiB minetest-mod-currency
 12MiB minetest-mod-lucky-block
 12MiB minetest-mod-basic-materials
 12MiB minetest-mod-protector
 12MiB minetest-mod-worldedit
 12MiB minetest-mod-unifieddyes
 12MiB minetest-mod-moreores
 12MiB minetest-mod-throwing
 12MiB minetest-mod-intllib
 12MiB minetest-mod-quartz
 12MiB minetest-mod-infinite-chest
 12MiB minetest
 11MiB val-and-rick
 11MiB ironseed
 11MiB zaz
 11MiB bzflag-client
 11MiB hyperrogue
 11MiB phlipple
 11MiB criticalmass
 11MiB abe
 11MiB micropolis
 11MiB dwarf-fortress
 11MiB holotz-castle-editor
 11MiB holotz-castle
 11MiB enemylines3
 11MiB biloba
 11MiB csmash-demosong
 11MiB 0ad-data-common
 11MiB pachi
 11MiB lbreakout2
 11MiB gargoyle-free
 11MiB biniax2
 11MiB viruskiller
 11MiB trophy-data
 11MiB flare
 11MiB flare-engine
 11MiB gearhead2-sdl
 11MiB uqm-russian
 11MiB madbomber
 11MiB manaplus
 11MiB gl-117
 10MiB ceferino
 10MiB tuxmath-data
 10MiB blocks-of-the-undead
 10MiB pink-pony-data
 10MiB tennix
9.9MiB epiphany
9.9MiB asc-music
9.8MiB kraptor
9.8MiB tecnoballz
9.8MiB flobopuyo
9.7MiB lgeneral
9.7MiB bucklespring
9.7MiB tatan
9.6MiB toppler
9.6MiB gnujump
9.5MiB csmash
9.5MiB projectl
9.5MiB zaz-data
9.5MiB stockfish
9.5MiB tuxtype-data
9.5MiB powermanga-data
9.4MiB netrek-client-cow
9.4MiB ii-esu
9.4MiB rtcw
9.4MiB njam
9.3MiB instead
9.3MiB moon-lander
9.2MiB gearhead2
9.2MiB glob2-data
9.2MiB uqm-content
9.2MiB uqm
9.1MiB circuslinux
9.1MiB qtads
9.1MiB triplane
9.1MiB kraptor-data
9.1MiB openttd-opensfx
9.1MiB einstein
9.1MiB hearse
9.1MiB meritous
9.0MiB lierolibre
9.0MiB jag
9.0MiB quake3
8.9MiB polygen-data
8.9MiB d2x-rebirth
8.9MiB penguin-command
8.9MiB komi
8.9MiB crack-attack
8.9MiB onscripter
8.8MiB rockdodger
8.8MiB d1x-rebirth
8.8MiB pax-britannica
8.8MiB raincat-data
8.8MiB hex-a-hop-data
8.8MiB crossfire-client
8.8MiB gearhead2-data
8.8MiB gemdropx
8.8MiB golly
8.8MiB crimson
8.7MiB sludge-engine
8.7MiB lmarbles
8.6MiB bugsquish
8.6MiB enemylines7
8.6MiB bzflag-data
8.6MiB heroes
8.5MiB vonsh
8.5MiB asylum
8.5MiB rott
8.5MiB ltris
8.5MiB dopewars
8.5MiB wordwarvi
8.5MiB tourney-manager
8.4MiB vodovod
8.4MiB supertransball2
8.4MiB corsix-th
8.4MiB gnubg
8.4MiB gtkboard
8.4MiB pax-britannica-data
8.4MiB mousetrap
8.3MiB pathogen
8.3MiB vectoroids
8.3MiB teeworlds
8.3MiB black-box
8.3MiB barrage
