year of latest upload (to sid),source package (in bookworm)
2018,golang-github-samalba-dockerclient
2018,golang-github-samuel-go-zookeeper
2018,golang-github-smira-go-ftp-protocol
2018,golang-github-spacejam-loghisto
2018,golang-github-spaolacci-murmur3
2018,golang-github-svent-go-flags
2018,golang-github-templexxx-cpufeat
2018,golang-github-templexxx-reedsolomon
2018,golang-github-tent-http-link-go
2018,golang-github-ttacon-chalk
2018,golang-github-ugorji-go-msgpack
2018,golang-github-vaughan0-go-ini
2018,golang-github-vjeantet-grok
2018,golang-github-weaveworks-mesh
2018,golang-github-xyproto-pinterface
2018,golang-go-cache
2018,golang-go-xdg
2018,golang-gocolorize
2018,golang-gopkg-bufio.v1
2018,golang-gopkg-fatih-pool.v2
2018,golang-gopkg-olivere-elastic.v2
2018,golang-gopkg-redis.v2
2018,golang-gopkg-testfixtures.v2
2018,golang-gopkg-tomb.v2
2018,golang-robfig-config
2018,golang-siphash-dev
2018,golang-sorcix-irc-dev
2018,goocanvas-2.0
2018,goocanvasmm-2.0
2018,gperiodic
2018,gphotofs
2018,gplanarity
2018,greed
2018,grepcidr
2018,gst-plugins-espeak
2018,gtk2-engines-oxygen
2018,gtkmm-documentation
2018,gtypist
2018,gvpe
2018,hdf-eos4
2018,hellfire
2018,helpman
2018,heroes-sound-effects
2018,heroes-sound-tracks
2018,hexec
2018,hicolor-icon-theme
2018,httperf
2018,httpunit
2018,icon
2018,inkscape-open-symbols
2018,ioport
2018,iprange
2018,irtt
2018,its-playback-time
2018,itsol
2018,jackson-module-jaxb-annotations
2018,jasmin-sable
2018,java-allocation-instrumenter
2018,javabeans-activation-framework
2018,javafxsvg
2018,jawn
2018,jaxrpc-api
2018,jaxrs-api
2018,jayway-jsonpath
2018,jcifs
2018,jdependency
2018,jericho-html
2018,jets3t
2018,jeuclid
2018,jexcelapi
2018,jmagick
2018,jsch
2018,json4s
2018,jug
2018,kbd-chooser
2018,kickseed
2018,killer
2018,kobodeluxe
2018,leveldb-java
2018,lfm
2018,libandroid-json-org-java
2018,libanyevent-yubico-perl
2018,libapache-sessionx-perl
2018,libapache2-mod-fcgid
2018,libapp-daemon-perl
2018,libart-lgpl
2018,libast
2018,libatasmart
2018,libaudio-wma-perl
2018,libauthen-u2f-tester-perl
2018,libavc1394
2018,libb64
2018,libbsf-java
2018,libbusiness-onlinepayment-tclink-perl
2018,libcache-bdb-perl
2018,libcapi20-3
2018,libcarp-always-perl
2018,libcatalyst-actionrole-requiressl-perl
2018,libcatalyst-plugin-captcha-perl
2018,libcatalyst-plugin-session-store-dbi-perl
2018,libcds-savot-java
2018,libchi-memoize-perl
2018,libclass-data-inheritable-perl
2018,libclass-refresh-perl
2018,libclasslojure-clojure
2018,libcommons-collections3-java
2018,libconfig-methodproxy-perl
2018,libcss-squish-perl
2018,libdata-random-perl
2018,libdata-validate-email-perl
2018,libdbix-class-timestamp-perl
2018,libdbix-fulltextsearch-perl
2018,libdebug-trace-perl
2018,libdesktop-notify-perl
2018,libdist-zilla-localetextdomain-perl
2018,libdist-zilla-plugin-localemsgfmt-perl
2018,libdsk
